slug,title,author,published,category,section_label,description,hero_image,hero_image_local,source_url
a-brilliant-future-for-the-smart-home-31239,A Brilliant Future for the Smart Home,Gene J. Koprowski,"August 4, 2003 8:11 AM PT",Emerging Tech,TECHNOLOGY SPECIAL REPORT,"Imagine a completely networked home -- a smart home, if you will -- in which every appliance has its own Internet address and can be remotely managed from anywhere on the Internet with a simple Web browser. A few years ago, only small startups and leading-edge visionaries were promoting the idea of smart homes. But today, mainstream homebuilders, local home-networking integrators and even home-furnishings suppliers, such as Sears, are offering goods and services to smarten up your living space.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/2009-wiki-1.jpg,images/a-brilliant-future-for-the-smart-home-31239.jpg,https://www.technewsworld.com/story/a-brilliant-future-for-the-smart-home-31239.html
acxiom-database-hack-highlights-risk-31306,Acxiom Database Hack Highlights Risk,Jay Lyman,"August 11, 2003 8:44 AM PT",Security,,"Consumer information held by Acxiom, one of the largest collectors and processors of such data, was reportedly accessed and downloaded recently by an intruder who broke into the company's massive database. Law enforcement officials, who notified Acxiom of the breach, have arrested a suspect in Ohio. Acxiom claims the unlawful access to files containing personal information did not result in theft or other harm to any individuals. However, security and privacy experts said that as large consumer databases become more valuable, they are more likely to be targeted by attackers.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/acxiom-hack-1.jpg,images/acxiom-database-hack-highlights-risk-31306.jpg,https://www.technewsworld.com/story/acxiom-database-hack-highlights-risk-31306.html
ai-costs-continue-to-rise-despite-falling-token-prices-180461,Falling Token Prices Fail To Slow Enterprise AI Spending,John P. Mello Jr.,"July 28, 2026 5:00 AM PT",Artificial Intelligence,,"Enterprise AI costs continue rising despite lower token prices as agentic AI, data preparation, and governance drive higher spending.",https://www.technewsworld.com/wp-content/uploads/sites/3/2026/07/ai-token-consumption.jpg,images/ai-costs-continue-to-rise-despite-falling-token-prices-180461.jpg,https://www.technewsworld.com/story/ai-costs-continue-to-rise-despite-falling-token-prices-180461.html
ai-trust-gap-with-young-adults-could-carry-a-high-cost-180511,Young Adults’ AI Distrust Raises Long-Term Risks for Tech,Rob Enderle,"August 24, 2026 5:00 AM PT",Artificial Intelligence,OPINION,"A new poll finds young adults wary of AI executives, job impacts, and data center growth as the industry pours billions into expansion.",https://www.technewsworld.com/wp-content/uploads/sites/3/2026/08/ai-trust-gap.jpg,images/ai-trust-gap-with-young-adults-could-carry-a-high-cost-180511.jpg,https://www.technewsworld.com/story/ai-trust-gap-with-young-adults-could-carry-a-high-cost-180511.html
airgo-claims-next-gen-wireless-lan-in-chipset-31367,Airgo Claims Next-Gen Wireless LAN in Chipset,Jay Lyman,"August 18, 2003 1:22 PM PT",Computing,,"Wireless startup Airgo -- a company that consists of some of the wireless industry's most prominent pioneers -- announced it is sampling a new WiFi chipset that promises to double the range and data rates of wireless local area networks. Airgo said its AGN100 WiFi chipset, for use in 802.11 wireless networks, takes advantage of multiple-antenna technology to increase existing WiFi rates to 108 Mbps and extend current WiFi range to as much as six times that of competing chipsets.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/airgo-wireless-chip-1.jpg,images/airgo-claims-next-gen-wireless-lan-in-chipset-31367.jpg,https://www.technewsworld.com/story/airgo-claims-next-gen-wireless-lan-in-chipset-31367.html
amd-acquires-national-semiconductors-geode-unit-31281,AMD Acquires National Semiconductor's Geode Unit,Jay Lyman,"August 6, 2003 1:47 PM PT",Hardware,,"Seeking to target the embedded applications market, chipmaker Advanced Micro Devices has announced the acquisition of National Semiconductor's Information Appliance unit and the Geode family of microprocessors. There is some speculation about the purpose of AMD's acquisition, which seems to put AMD in the position of being forced to choose which architecture to support and promote -- the newly-acquired Geode x86 framework or the earlier-acquired Alchemy MIPS architecture.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/amd-geode-gx1-chip-1.jpg,images/amd-acquires-national-semiconductors-geode-unit-31281.jpg,https://www.technewsworld.com/story/amd-acquires-national-semiconductors-geode-unit-31281.html
apple-linux-and-bsd-the-other-platforms-31771,"Apple, Linux and BSD: The 'Other' Platforms",Rob Enderle,"October 6, 2003 1:28 PM PT",Computing,OPINION,"I spend a lot of time listening to lots of folks complain that they don't have a choice, that big, bad Microsoft has come in and made their lives a living hell and that someone should do something about it. If you are one of those folks, today is your lucky day. I'm going to start telling you how to fix this problem. In this week's column, I address the ""other"" platforms. Next week, my column will be about how to use Microsoft products successfully.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/directions-1.jpg,images/apple-linux-and-bsd-the-other-platforms-31771.jpg,https://www.technewsworld.com/story/apple-linux-and-bsd-the-other-platforms-31771.html
apple-sets-release-date-for-mac-os-x-panther-31795,Apple Sets Release Date for Mac OS X Panther,Jay Lyman,"October 8, 2003 11:19 AM PT",Applications,,"Touting more than 150 new features -- including improved interoperability with Windows and Linux -- Apple Computer has announced that its updated Mac OS X Panther operating system will be available on October 24th. The Cupertino, California-based company said Mac OS X version 10.3 delivers new features that will not be available in a Windows operating system for years to come. These technologies include a faster, revamped Finder interface for accessing files and folders and the new Expose technology to help keep the desktop organized.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/apple-panther-3.jpg,images/apple-sets-release-date-for-mac-os-x-panther-31795.jpg,https://www.technewsworld.com/story/apple-sets-release-date-for-mac-os-x-panther-31795.html
apples-new-ai-playbook-180389,Apple's AI Strategy Comes Into Focus | Analysis,Rob Enderle,"June 15, 2026 5:00 AM PT",Artificial Intelligence,ANALYST COMMENTARY,"Apple is weaving AI throughout its ecosystem, combining Siri, Gemini, and privacy-focused design to connect apps, services, and devices.",https://www.technewsworld.com/wp-content/uploads/sites/3/2026/06/apple-ai-playbook.jpg,images/apples-new-ai-playbook-180389.jpg,https://www.technewsworld.com/story/apples-new-ai-playbook-180389.html
apples-power-mac-g5-hits-the-street-31363,Apple's Power Mac G5 Hits the Street,Jay Lyman,"August 18, 2003 9:00 AM PT",Hardware,,"Apple has announced it is now shipping the first of the highly anticipated G5 processors in two models of the Power Mac desktop computer. Billed by the company as the ""world's fastest personal computer,"" the Power Mac G5 takes advantage of 64-bit processing, new cache technology and increased memory support to deliver what industry observers call a long-overdue overhaul of Apple's hardware. Analysts said the PowerPC G5 processor, designed by IBM and Apple, will give Mac users dramatically improved performance in the high-end, gaming and graphics markets.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/apple-g5-ship-1.jpg,images/apples-power-mac-g5-hits-the-street-31363.jpg,https://www.technewsworld.com/story/apples-power-mac-g5-hits-the-street-31363.html
artificial-caregivers-improve-on-the-real-thing-31465,Artificial Caregivers Improve on the Real Thing,Diane Stresing,"August 30, 2003 1:00 AM PT",Security,,"The universal shortage of nurses in particular and healthcare workers in general is getting worse. Meanwhile, baby boomers are moving like a tidal wave toward assisted-living homes. Soon, patients could face the choice of being cared for by a robotic nurse or no nurse at all. When Pearl, a robotic nurse developed by researchers at Carnegie Mellon and the University of Pittsburgh, rolled into service at Pitt's School of Nursing and later into a retirement community in Oakland, ""people loved it,"" Sebastian Thrun, associate professor of robotics computing at Stanford University, told TechNewsWorld.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/health-4.jpg,,https://www.technewsworld.com/story/artificial-caregivers-improve-on-the-real-thing-31465.html
authorities-investigate-romanian-virus-writer-31500,Authorities Investigate Romanian Virus Writer,Jay Lyman,"September 4, 2003 2:05 PM PT",Security,,"Authorities in Romania are investigating another suspected writer of a Blaster variant, according to Bucharest-based BitDefender, which reported similarities between the 24-year-old suspect and Jeffrey Lee Parson, the Minnesota teenager accused of authoring a different Blaster variant. The U.S. arrest and European investigation involve copycat versions of the original Blaster worm, which pounced on hundreds of thousands of vulnerable Windows PCs last month.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/romanian-blaster-suspect-investigation.jpg,images/authorities-investigate-romanian-virus-writer-31500.jpg,https://www.technewsworld.com/story/authorities-investigate-romanian-virus-writer-31500.html
beyond-biometrics-new-strategies-for-security-31547,Beyond Biometrics: New Strategies for Security,Jack M. Germain,"September 11, 2003 4:13 AM PT",Security,TECHNOLOGY SPECIAL REPORT,"Biometric security devices -- which authenticate a person's identity on the basis of physical characteristics, such as a fingerprint -- have been available in one form or another for 30 years. But biometrics technology for computer security might never achieve widespread use because of the predominant perception that biometrics technology is costly, inconvenient and intrusive. According to Roy Want, principal engineer at Intel Research, the biggest problem with biometric devices is the inconvenience factor. ""Biometric security needs to be transparent,"" he told TechNewsWorld. ""It isn't yet.""",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/security-3.jpg,images/beyond-biometrics-new-strategies-for-security-31547.jpg,https://www.technewsworld.com/story/beyond-biometrics-new-strategies-for-security-31547.html
beyond-the-fad-macromedias-flash-matures-31217,Beyond the Fad: Macromedia's Flash Matures,Brian R. Hook,"July 30, 2003 4:00 AM PT",Applications,TECHNOLOGY SPECIAL REPORT,"Flash animation -- once widely derided as a bells-and-whistles annoyance -- is quickly becoming ubiquitous, thanks to the prevalence of broadband connections and a freely distributed plug-in for nearly every major computing platform on the market. In fact, Flash technology, developed by Macromedia, has become so widespread that many companies are starting to think of it as a platform unto itself. But Flash was not always so well received. As recently as 1999, usability expert Jakob Nielsen waged war against Flash designers.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/macromedia-flash-mx-1.jpg,images/beyond-the-fad-macromedias-flash-matures-31217.jpg,https://www.technewsworld.com/story/beyond-the-fad-macromedias-flash-matures-31217.html
